,downloads,library
2024-12-29,6503569.0,pandas
2024-12-30,8769370.0,pandas
2024-12-31,8533425.0,pandas
2025-01-01,7659094.0,pandas
2025-01-02,8945069.0,pandas
2025-01-03,9196794.0,pandas
2025-01-04,7474227.0,pandas
2025-01-05,7239567.0,pandas
2025-01-06,10187670.0,pandas
2025-01-07,10797556.0,pandas
2025-01-08,10988781.0,pandas
2025-01-09,10658187.0,pandas
2025-01-10,10577883.0,pandas
2025-01-11,7506113.0,pandas
2025-01-12,7098215.0,pandas
2025-01-13,10270005.0,pandas
2025-01-14,10848032.0,pandas
2025-01-15,10899599.0,pandas
2025-01-16,10640877.0,pandas
2025-01-17,10885572.0,pandas
2025-01-18,7116723.0,pandas
2025-01-20,9499084.0,pandas
2025-01-21,10776610.0,pandas
2025-01-22,10871149.0,pandas
2025-01-23,10262365.0,pandas
2025-01-24,9898336.0,pandas
2025-01-25,7233748.0,pandas
2025-01-26,6868170.0,pandas
2025-01-27,10295674.0,pandas
2025-01-28,11435441.0,pandas
2025-01-29,11088975.0,pandas
2025-01-30,10590762.0,pandas
2025-01-31,10416718.0,pandas
2025-02-01,7613764.0,pandas
2025-02-02,7232981.0,pandas
2025-02-03,10419539.0,pandas
2025-02-04,11465248.0,pandas
2025-02-05,11666280.0,pandas
2025-02-06,11611479.0,pandas
2025-02-07,10983091.0,pandas
2025-02-08,7528931.0,pandas
2025-02-09,7271535.0,pandas
2025-02-10,10675991.0,pandas
2025-02-11,10939317.0,pandas
2025-02-12,11224885.0,pandas
2025-02-13,11185453.0,pandas
2025-02-14,10315309.0,pandas
2025-02-15,7242975.0,pandas
2025-02-16,7077991.0,pandas
2025-02-17,9941484.0,pandas
2025-02-18,10961766.0,pandas
2025-02-19,11406519.0,pandas
2025-02-20,11248068.0,pandas
2025-02-21,10376737.0,pandas
2025-02-22,7577940.0,pandas
2025-02-23,7218789.0,pandas
2025-02-24,10825180.0,pandas
2025-02-25,11217939.0,pandas
2025-02-26,11303205.0,pandas
2025-02-27,11563201.0,pandas
2025-02-28,10736722.0,pandas
2025-03-01,7695813.0,pandas
2025-03-02,7021907.0,pandas
2025-03-03,10471885.0,pandas
2025-03-04,11137176.0,pandas
2025-03-05,11088754.0,pandas
2025-03-06,11230071.0,pandas
2025-03-07,11759660.0,pandas
2025-03-08,7343441.0,pandas
2025-03-09,7038388.0,pandas
2025-03-10,10662639.0,pandas
2025-03-11,11104868.0,pandas
2024-12-15,10688764.0,pandas
2025-01-19,6744136.0,pandas
2024-12-13,2645786.0,matplotlib
2024-12-14,1583362.0,matplotlib
2024-12-15,1503958.0,matplotlib
2024-12-16,2718186.0,matplotlib
2024-12-17,2996464.0,matplotlib
2024-12-18,2826972.0,matplotlib
2024-12-19,2799135.0,matplotlib
2024-12-20,2559878.0,matplotlib
2024-12-21,1608912.0,matplotlib
2024-12-22,1501816.0,matplotlib
2024-12-23,2184153.0,matplotlib
2024-12-24,1798945.0,matplotlib
2024-12-25,1490133.0,matplotlib
2024-12-26,1710396.0,matplotlib
