date,downloads,library
2025-01-22,10871149,pandas
2025-01-23,10262365,pandas
2025-01-24,9898336,pandas
2025-01-25,7233748,pandas
2025-01-26,6868170,pandas
2025-01-27,10295674,pandas
2025-01-28,11435441,pandas
2025-01-29,11088975,pandas
2025-01-30,10590762,pandas
2025-01-31,10416718,pandas
2025-02-01,7613764,pandas
2025-02-02,7232981,pandas
2025-02-03,10419539,pandas
2025-02-04,11465248,pandas
2025-02-05,11666280,pandas
2025-02-06,11611479,pandas
2025-02-07,10983091,pandas
2025-02-08,7528931,pandas
2025-02-09,7271535,pandas
2025-02-10,10675991,pandas
2025-02-11,10939317,pandas
2025-02-12,11224885,pandas
2025-02-13,11185453,pandas
2025-02-14,10315309,pandas
2025-02-15,7242975,pandas
2025-02-16,7077991,pandas
2025-02-17,9941484,pandas
2025-02-18,10961766,pandas
2025-02-19,11406519,pandas
2025-02-20,11248068,pandas
2025-02-21,10376737,pandas
2025-02-22,7577940,pandas
2025-02-23,7218789,pandas
2025-02-24,10825180,pandas
2025-02-25,11217939,pandas
2025-02-26,11303205,pandas
2025-02-27,11563201,pandas
2025-02-28,10736722,pandas
2025-03-01,7695813,pandas
2025-03-02,7021907,pandas
2025-03-03,10471885,pandas
2025-03-04,11137176,pandas
2025-03-05,11088754,pandas
2025-03-06,11230071,pandas
2025-03-07,11759660,pandas
2025-03-08,7343441,pandas
2025-03-09,7038388,pandas
2025-03-10,10662639,pandas
2025-03-11,11104868,pandas
2024-12-13,2645786,matplotlib
2024-12-14,1583362,matplotlib
2024-12-15,1503958,matplotlib
2024-12-16,2718186,matplotlib
2024-12-17,2996464,matplotlib
2024-12-18,2826972,matplotlib
2024-12-19,2799135,matplotlib
2024-12-20,2559878,matplotlib
2024-12-21,1608912,matplotlib
2024-12-22,1501816,matplotlib
2024-12-23,2184153,matplotlib
2024-12-24,1798945,matplotlib
2024-12-25,1490133,matplotlib
2024-12-26,1710396,matplotlib
2024-12-27,1717967,matplotlib
2024-12-28,1386747,matplotlib
2024-12-29,1316281,matplotlib
2024-12-30,1851745,matplotlib
2024-12-31,1666691,matplotlib
2025-01-01,1422439,matplotlib
2025-01-02,2127659,matplotlib
2025-01-03,2101570,matplotlib
2025-01-04,1446252,matplotlib
2025-01-05,1439974,matplotlib
2025-01-06,2498646,matplotlib
2025-01-07,2643890,matplotlib
2025-01-08,2718641,matplotlib
2025-01-09,2577060,matplotlib
2025-01-10,2483182,matplotlib
2025-01-11,1563778,matplotlib
2025-01-12,1438839,matplotlib
2025-01-13,2526898,matplotlib
2025-01-14,2796323,matplotlib
2025-01-15,2741907,matplotlib
2025-01-16,2729570,matplotlib
2025-01-17,2743740,matplotlib
2025-01-18,1520257,matplotlib
2025-01-19,1418228,matplotlib
2025-01-20,2316599,matplotlib
2025-01-21,2680150,matplotlib
2025-01-22,2771272,matplotlib
2025-01-23,2601847,matplotlib
2025-01-24,2539825,matplotlib
2025-01-25,1522689,matplotlib
2025-01-26,1470499,matplotlib
2025-01-27,2601851,matplotlib
2025-01-28,2875618,matplotlib
2025-01-29,2730798,matplotlib
2025-01-30,2662406,matplotlib
2025-01-31,2620825,matplotlib
2025-02-01,1743835,matplotlib
2025-02-02,1694138,matplotlib
2025-02-03,2856974,matplotlib
2025-02-04,3133793,matplotlib
2025-02-05,3040888,matplotlib
2025-02-06,2941481,matplotlib
2025-02-07,3002097,matplotlib
2025-02-08,1921889,matplotlib
2025-02-09,1809485,matplotlib
2025-02-10,3118547,matplotlib
2025-02-11,2952752,matplotlib
2025-02-12,3046988,matplotlib
2025-02-13,2992493,matplotlib
2025-02-14,2735623,matplotlib
2025-02-15,1657192,matplotlib
2025-02-16,1617249,matplotlib
2025-02-17,2665345,matplotlib
2025-02-18,3053306,matplotlib
2025-02-19,3037744,matplotlib
2025-02-20,3066049,matplotlib
2025-02-21,3030061,matplotlib
2025-02-22,2093503,matplotlib
2025-02-23,1777364,matplotlib
2025-02-24,3158730,matplotlib
2025-02-25,3382258,matplotlib
2025-02-26,3253499,matplotlib
2025-02-27,3288144,matplotlib
2025-02-28,2956433,matplotlib
2025-03-01,1960682,matplotlib
2025-03-02,1707061,matplotlib
2025-03-03,2889853,matplotlib
2025-03-04,3332781,matplotlib
2025-03-05,3312126,matplotlib
2025-03-06,3351585,matplotlib
2025-03-07,3515549,matplotlib
2025-03-08,1801632,matplotlib
2025-03-09,1680950,matplotlib
2025-03-10,3063801,matplotlib
2025-03-11,3226559,matplotlib
2024-12-13,2869288,scikit-learn
2024-12-14,1946786,scikit-learn
2024-12-15,1971182,scikit-learn
2024-12-16,2870374,scikit-learn
2024-12-17,3146556,scikit-learn
2024-12-18,2920710,scikit-learn
2024-12-19,2821333,scikit-learn
2024-12-20,2611156,scikit-learn
2024-12-21,1983110,scikit-learn
2024-12-22,1929642,scikit-learn
2024-12-23,2468701,scikit-learn
2024-12-24,2178852,scikit-learn
2024-12-25,1951551,scikit-learn
2024-12-26,2164418,scikit-learn
2024-12-27,2188782,scikit-learn
2024-12-28,1772961,scikit-learn
2024-12-29,1790486,scikit-learn
2024-12-30,2252369,scikit-learn
2024-12-31,2074394,scikit-learn
2025-01-01,1857455,scikit-learn
2025-01-02,2424264,scikit-learn
2025-01-03,2361267,scikit-learn
2025-01-04,1848452,scikit-learn
2025-01-05,1840246,scikit-learn
2025-01-06,2692337,scikit-learn
2025-01-07,2900304,scikit-learn
2025-01-08,2863005,scikit-learn
2025-01-09,2776394,scikit-learn
2025-01-10,2762957,scikit-learn
2025-01-11,1934014,scikit-learn
2025-01-12,1871643,scikit-learn
2025-01-13,2742576,scikit-learn
2025-01-14,2934310,scikit-learn
2025-01-15,2881333,scikit-learn
2025-01-16,2820651,scikit-learn
2025-01-17,2888019,scikit-learn
2025-01-18,1915850,scikit-learn
2025-01-19,1871624,scikit-learn
2025-01-20,2556553,scikit-learn
2025-01-21,2924531,scikit-learn
2025-01-22,2924507,scikit-learn
2025-01-23,2802829,scikit-learn
2025-01-24,2717512,scikit-learn
2025-01-25,2034728,scikit-learn
2025-01-26,1976157,scikit-learn
2025-01-27,2861607,scikit-learn
2025-01-28,2970205,scikit-learn
2025-01-29,2849687,scikit-learn
